2023-04-01 19:08:46,602 INFO : schoolmistress logged in successfully
2023-04-01 19:42:41,522 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,526 INFO : Highlight: {'top_left': [17, 170.5], 'bottom_right': [1432.6171875, 242.5]}
2023-04-01 19:42:41,528 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,531 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,535 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:42:41,538 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,542 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,545 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:42:41,547 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,550 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,553 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:42:41,555 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,558 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,560 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [1443.796875, 402]}
2023-04-01 19:42:41,563 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:42:41,565 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1007.3515625, 301]}
2023-04-01 19:42:41,568 INFO : Highlight: {'top_left': [17, 431], 'bottom_right': [217.25, 460.5]}
2023-04-01 19:42:41,571 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:42:41,573 INFO : Highlight: {'top_left': [17, 330], 'bottom_right': [552.640625, 359.5]}
2023-04-01 19:42:41,575 INFO : Highlight: {'top_left': [17, 489.5], 'bottom_right': [609.953125, 519]}
2023-04-01 19:42:41,580 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:42:41,583 INFO : Highlight: {'top_left': [557.390625, 330], 'bottom_right': [843.5234375, 359.5]}
2023-04-01 19:42:41,587 INFO : Highlight: {'top_left': [17, 548], 'bottom_right': [455.0234375, 577.5]}
